id.orig_addr,id.orig_port,id.resp_haddr,id.resp_pport,proto_enum,duration_interval,conn_state_string,orig_pkts_count,orig_ip_bytes_count,resp_pkts_count,resp_bytes,Category
3296074089,5151,2022758712,53,2,5.0305998329588855,4,1,540,0,0,0
3296074089,61215,820700452,53,2,5.0305998329588855,4,1,540,0,0,0
3296074089,60587,1658561341,53,2,5.0305998329588855,4,1,540,0,0,0
3232235972,52092,2210836888,23,1,3.119981,4,3,180,0,0,0
3296074089,5566,3818472118,53,2,5.0305998329588855,4,1,540,0,0,0
3232235972,54286,2882251098,23,1,5.0305998329588855,4,1,60,0,0,0
3232235972,48758,2228216020,23,1,3.139701,4,3,180,0,0,0
3232235972,54086,3336165070,23,1,3.127223,4,3,180,0,0,0
3232235972,39082,3690900173,23,1,5.0305998329588855,4,1,60,0,0,0
3296074089,18038,277442259,53,2,5.0305998329588855,4,1,540,0,0,0
3232235972,47528,697109776,23,1,3.131202,4,3,180,0,0,0
3232235972,54284,1807189650,23,1,5.0305998329588855,4,1,60,0,0,0
3232235972,36998,2977460872,23,1,5.0305998329588855,4,1,60,0,0,0
3232235972,58444,2643628709,23,1,5.0305998329588855,4,1,60,0,0,0
3232235972,43026,2764657761,23,1,5.0305998329588855,4,1,60,0,0,0
3296074089,57089,144835535,53,2,5.0305998329588855,4,1,540,0,0,0
3232235972,37986,2567588887,23,1,3.112241,4,3,180,0,0,0
3232235972,33360,390025799,23,1,3.15643,4,3,180,0,0,0
3296074089,24615,698933671,53,2,5.0305998329588855,4,1,540,0,0,0
3232235972,33228,1566380048,23,1,3.087242,4,3,180,0,0,0
3296074089,41807,2348196111,53,2,5.0305998329588855,4,1,540,0,0,0
3232235972,38842,3293931605,23,1,3.112487,4,3,180,0,0,0
2357216194,3,3232261228,1,0,5.0305998329588855,0,1,68,0,0,0
3296074089,24655,2228877954,53,2,5.0305998329588855,4,1,540,0,0,0
3232235972,36848,3732297387,23,1,5.0305998329588855,4,1,60,0,0,0
3296074089,46254,587538232,53,2,5.0305998329588855,4,1,540,0,0,0
3296074089,12792,2046306675,53,2,5.0305998329588855,4,1,540,0,0,0
3232235972,59938,2336178309,23,1,5.0305998329588855,4,1,60,0,0,0
3232235972,39264,3399574362,23,1,3.089022,4,3,180,0,0,0
3296074089,51933,2455990626,53,2,5.0305998329588855,4,1,540,0,0,0
3296074089,40315,648555180,53,2,5.0305998329588855,4,1,540,0,0,0
3296074089,10244,978408901,53,2,5.0305998329588855,4,1,540,0,0,0
3296074089,39962,2865290382,53,2,5.0305998329588855,4,1,540,0,0,0
3232235972,35954,2487067977,23,1,3.149953,4,3,180,0,0,0
3232235972,53966,1091248457,23,1,5.0305998329588855,4,1,60,0,0,0
3296074089,27195,2691675350,53,2,5.0305998329588855,4,1,540,0,0,0
3232235972,48430,2593410150,23,1,3.155235,4,3,180,0,0,0
3296074089,22837,2279694826,53,2,5.0305998329588855,4,1,540,0,0,0
3232235972,53320,2661196542,23,1,5.0305998329588855,4,1,60,0,0,0
3296074089,50714,1202404858,53,2,5.0305998329588855,4,1,540,0,0,0
3232235972,39978,2693066159,23,1,3.144216,4,3,180,0,0,0
3232235972,38360,2375374237,23,1,3.122725,4,3,180,0,0,0
3232235972,35642,1413976424,23,1,5.0305998329588855,4,1,60,0,0,0
3232261228,123,2481415173,123,2,0.002244,6,1,76,1,76,0
3232235972,39652,742558296,23,1,5.0305998329588855,4,1,60,0,0,0
3296074089,18077,3897398070,53,2,5.0305998329588855,4,1,540,0,0,0
3232235972,57574,2457066410,23,1,5.0305998329588855,4,1,60,0,0,0
3232235972,56638,2676213658,23,1,3.144488,4,3,180,0,0,0
3232235972,33878,2927400317,23,1,3.15599,4,3,180,0,0,0
3232235972,53742,4058969307,23,1,3.084501,4,3,180,0,0,0
3296074089,62499,3514300637,53,2,5.0305998329588855,4,1,540,0,0,0
3296074089,58701,766498593,53,2,5.0305998329588855,4,1,540,0,0,0
3232235972,59080,3029382014,23,1,5.0305998329588855,4,1,60,0,0,0
3232235972,57538,2608841622,23,1,3.144719,4,3,180,0,0,0
3296074089,7860,1757886477,53,2,5.0305998329588855,4,1,540,0,0,0
3296074089,54855,123610849,53,2,5.0305998329588855,4,1,540,0,0,0
3296074089,50047,3044617134,53,2,5.0305998329588855,4,1,540,0,0,0
3296074089,12162,3784403499,53,2,5.0305998329588855,4,1,540,0,0,0
3232235972,53852,562973590,23,1,3.134204,4,3,180,0,0,0
3296074089,64909,2519527868,53,2,5.0305998329588855,4,1,540,0,0,0
2523119086,3,3232261228,0,0,5.0305998329588855,0,1,68,0,0,0
3296074089,52959,2488208536,53,2,5.0305998329588855,4,1,540,0,0,0
3232235972,53574,847538242,23,1,3.145213,4,3,180,0,0,0
3296074089,7990,3251450582,53,2,5.0305998329588855,4,1,540,0,0,0
